"Name","truth","response","condition"
"Methanobacterium alcaliphilum",10.2,20.6174663206601,"growth_doubl"
"Methanobacterium beijingense",14.1,16.0854115166663,"growth_doubl"
"Methanobacterium bryantii",19.25,11.0993858355141,"growth_doubl"
"Methanobacterium congolense",7.5,14.6040004659095,"growth_doubl"
"Methanobacterium ferruginis",18.5,16.5188204161217,"growth_doubl"
"Methanobacterium flexile",21.6,14.1349258293556,"growth_doubl"
"Methanobacterium kanagiense",22.3,13.5264008476475,"growth_doubl"
"Methanobacterium lacus",22,10.5952452640279,"growth_doubl"
"Methanobacterium movens",25.66,11.3446777204234,"growth_doubl"
"Methanobacterium petrolearium",39.5,14.1733203464871,"growth_doubl"
"Methanobacterium subterraneum",3.89,18.1687991397586,"growth_doubl"
"Methanobacterium thermaggregans",3.5,11.1977639500877,"growth_doubl"
"Methanocaldococcus fervens",0.33,0.526063802464978,"growth_doubl"
"Methanocaldococcus infernus",0.513,0.629416605951933,"growth_doubl"
"Methanocaldococcus jannaschii",0.433,0.490015279995512,"growth_doubl"
"Methanocaldococcus vulcanius",0.66,0.468548080349734,"growth_doubl"
"Methanocella arvoryzae",8,9.3466779781324,"growth_doubl"
"Methanocella conradii",6.3,10.2128963771828,"growth_doubl"
"Methanococcoides methylutens",5.2,7.75690894897082,"growth_doubl"
"Methanococcus aeolicus",1.38,1.09464630813011,"growth_doubl"
"Methanococcus maripaludis",2,1.87873832173626,"growth_doubl"
"Methanocorpusculum aggregans",8,9.53010195095561,"growth_doubl"
"Methanocorpusculum labreanum",9.2,9.39815050728179,"growth_doubl"
"Methanocorpusculum parvum",8,9.87944892413375,"growth_doubl"
"Methanoculleus bourgensis",18,12.1817675367438,"growth_doubl"
"Methanoculleus chikugoensis",46,14.1170186828541,"growth_doubl"
"Methanoculleus horonobensis",6.93,14.1158420428859,"growth_doubl"
"Methanoculleus marisnigri",10,11.8063922987714,"growth_doubl"
"Methanoculleus thermophilus",2.5,13.8987953322885,"growth_doubl"
"Methanofollis ethanolicus",72,15.1994788719989,"growth_doubl"
"Methanohalophilus levihalophilus",18,24.5008462716015,"growth_doubl"
"Methanohalophilus portucalensis",5,10.4919473921465,"growth_doubl"
"Methanolacinia paynteri",4.8,19.9260712796787,"growth_doubl"
"Methanolinea mesophila",29,39.1451574598807,"growth_doubl"
"Methanolinea tarda",98,14.2095721843575,"growth_doubl"
"Methanolobus bombayensis",4.5,7.21080791868265,"growth_doubl"
"Methanolobus profundi",5,6.94023815228226,"growth_doubl"
"Methanolobus psychrophilus",15.873,7.64786204258159,"growth_doubl"
"Methanolobus taylorii",6,10.5483697577027,"growth_doubl"
"Methanolobus vulcani",5.33,6.86678445184557,"growth_doubl"
"Methanolobus zinderi",9.9,7.60259507202994,"growth_doubl"
"Methanomethylovorans hollandica",11.5,8.8135698447304,"growth_doubl"
"Methanomethylovorans thermophila",13.86,19.944829450172,"growth_doubl"
"Methanopyrus kandleri",0.33,3.01298818031777,"growth_doubl"
"Methanoregula boonei",44,16.3056111477252,"growth_doubl"
"Methanoregula formicica",16.6,16.8926304399114,"growth_doubl"
"Methanosaeta pelagica",297.6,14.2363408822284,"growth_doubl"
"Methanosalsum zhilinae",5.8,9.7146921888347,"growth_doubl"
"Methanosarcina baltica",84,22.5087524415023,"growth_doubl"
"Methanosarcina barkeri",6.9,8.76429775087167,"growth_doubl"
"Methanosarcina horonobensis",4.95,19.8275617701621,"growth_doubl"
"Methanosarcina lacustris",49.5,33.3311948416805,"growth_doubl"
"Methanosarcina siciliae",6.9,11.0887280126528,"growth_doubl"
"Methanosarcina soligelidi",122.4,7.26069590777344,"growth_doubl"
"Methanosarcina spelaei",122,15.7327651987859,"growth_doubl"
"Methanosarcina thermophila",5,11.3101481022453,"growth_doubl"
"Methanosarcina vacuolata",5,7.9794315355544,"growth_doubl"
"Methanosphaerula palustris",19,21.0697337091974,"growth_doubl"
"Methanospirillum hungatei",20.7,11.0690443472461,"growth_doubl"
"Methanospirillum lacunae",32.2,23.0112830662858,"growth_doubl"
"Methanothermobacter crinale",15.12,6.46723599207316,"growth_doubl"
"Methanothermobacter tenebrarum",12,10.4094234568008,"growth_doubl"
